date_utc,scan_ts_utc,trades_today,wins,losses,winrate,avg_pnl,daily_pnl_sim,max_consec_losses,max_dd_sim
2026-03-06,2026-03-06T01:34:32.340723+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:37:15.109434+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:37:12.967535+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:40:22.177681+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:42:49.760037+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:44:18.661491+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:45:03.534495+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:47:25.213557+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:49:38.540482+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:50:43.734487+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:51:56.397832+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:54:11.385699+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:56:23.281985+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:57:03.127540+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:58:45.033411+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:00:56.073922+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:03:07.528497+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:03:26.641654+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:05:33.822984+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:07:45.472113+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:09:54.738241+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:09:59.451577+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:12:30.888224+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:14:44.766520+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:16:28.450261+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:17:02.633812+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:19:27.606718+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:21:39.790324+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:22:52.654357+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:23:54.807178+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T02:26:07.345121+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:21:17.562436+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:21:30.383885+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:23:38.371210+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:25:32.596415+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:27:02.170821+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:27:45.800345+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:28:57.814512+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:31:01.086379+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:33:03.564038+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:33:51.431139+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:35:08.186286+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:37:10.262554+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:39:13.557314+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:39:57.588871+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:41:13.558979+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:42:41.316848+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:44:37.360374+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:46:02.598340+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:46:06.251540+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:48:17.024686+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:50:29.291308+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:52:16.050882+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:52:36.363784+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:55:15.566340+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:57:17.228654+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:58:56.692667+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T09:59:20.330584+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:01:29.576232+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:03:31.224761+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:05:05.576369+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:05:35.149746+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:07:44.090500+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:09:45.628087+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:11:15.680901+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:11:50.443714+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:13:56.858786+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:15:59.065435+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:17:24.623094+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:18:02.954409+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:20:07.628333+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:22:08.472486+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:23:31.592162+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:24:14.187898+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:26:16.983492+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:28:20.563164+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:29:37.116633+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:30:23.716443+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:32:27.374369+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:34:28.261772+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:35:45.538225+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:36:31.487964+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:38:34.157374+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:40:35.285682+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
